term,doc_freq,total,source_fields,gene_ids
zm00001d010159,7,11,EXACT B73_v4_id,act1 (tpzm:0008743)
nac transcription factor,7,11,EXACT locus_synonym,Zm00001eb112280 (tpzm:0007616)
snrk2.6,7,10,EXACT locus_synonym,snrkII6 (tpzm:0022616)
d8,7,10,EXACT jschnable_name; EXACT locus; NAME (gene symbol),d8 (tpzm:0012604)
mapkkk,7,9,EXACT locus_synonym,mapkkk1 (tpzm:0016052)
barren stalk1,7,9,EXACT description; EXACT locus_name; EXACT locus_synonym,ba1 (tpzm:0009370)
d9,7,8,EXACT jschnable_name; EXACT locus; NAME (gene symbol),d9 (tpzm:0012605)
hypothetical protein,7,7,EXACT locus_synonym,Zm00001d034611 (tpzm:0006532)
grassy tillers1,7,7,EXACT locus_name; EXACT locus_synonym,gt1 (tpzm:0014604)
zmmpk5,6,486,RELATED locus_synonym,mpk1 (tpzm:0016691); mpk2 (tpzm:0016701)
crtrb1,6,167,EXACT locus_synonym,hyd3 (tpzm:0015198)
ubiquitin-protein ligase,6,156,EXACT locus_synonym; RELATED locus_synonym,GRMZM2G028014 (tpzm:0000462); IDP176 (tpzm:0001440); LOC100273637 (tpzm:0003064); arm11 (tpzm:0009193); arm53 (tpzm:0009230); arm54 (tpzm:0009231); cl17205_1 (tpzm:0011001); fbl41 (tpzm:0013538); pco073185a (tpzm:0018249); pub18 (tpzm:0020684); pub20 (tpzm:0020687); pub26 (tpzm:0020691); pub35 (tpzm:0020700); pub80 (tpzm:0020735)
zmpip2;5,6,109,EXACT locus_synonym,pip2a (tpzm:0019777)
ssiia,6,85,EXACT locus_synonym,su2 (tpzm:0022777)
gbe,6,73,EXACT locus_synonym,LOC109939512 (tpzm:0004853)
ct2,6,68,EXACT locus; EXACT locus_synonym; NAME (gene symbol),cat2 (tpzm:0010200); ct2 (tpzm:0012401)
pip2,6,53,EXACT locus_synonym,pip2a (tpzm:0019777)
dna-binding protein,6,49,RELATED locus_synonym,LOC100284873 (tpzm:0003582); Zm00001d028577 (tpzm:0006304); Zm00001d037159 (tpzm:0006610); Zm00001eb173650 (tpzm:0007764); Zm00001eb259170 (tpzm:0008008); arid3 (tpzm:0009182); pco117517 (tpzm:0018879)
pr5,6,48,RELATED locus_synonym,LOC100273384 (tpzm:0003050); osm1 (tpzm:0017941); prp5 (tpzm:0020468); sip1 (tpzm:0022527)
toc1,6,47,EXACT locus; EXACT locus_synonym; NAME (gene symbol),toc1 (tpzm:0023141); toc2 (tpzm:0023142)
hsp90,6,39,EXACT locus; EXACT locus_synonym; NAME (gene symbol),hsp90 (tpzm:0015186); pza03529 (tpzm:0020907)
so,6,36,EXACT locus_synonym,so1 (tpzm:0022621)
chl,6,33,EXACT locus_synonym,Zm00001d015385 (tpzm:0005797)
shrunken2,6,26,EXACT description; EXACT locus_name; EXACT locus_synonym,sh2 (tpzm:0021918)
